# rom	genre	players	orientation	parent	title	year	maker -- made by tools/make-gameinfo.py from FinalBurn Neo
bublcave11	Platform	2	horizontal	bublbobl	Bubble Bobble: Lost Cave V1.1	2012	hack (Bisboch and Aladar)
bublpong	Platform	2	horizontal	missb2	Bubble Pong Pong	1996	Top Ltd.
bubsymphe	Platform	2	horizontal	bublbob2	Bubble Symphony (Ver 2.5O 1994/10/05)	1994	Taito Corporation Japan
bubsymphj	Platform	2	horizontal	bublbob2	Bubble Symphony (Ver 2.5J 1994/10/05)	1994	Taito Corporation
bubsymphu	Platform	2	horizontal	bublbob2	Bubble Symphony (Ver 2.5A 1994/10/05)	1994	Taito America Corporation
bucaner	Maze / Action	2	vertical	puckman	Buccaneer (set 1)	1981	hack (Video Research)
bucanera	Maze / Action	2	vertical	puckman	Buccaneer (set 2)	1981	hack (Video Research)
buccanrs	Beat 'em up	2	horizontal		Buccaneers (set 1)	1989	Duintronic
buccanrsa	Beat 'em up	2	horizontal	buccanrs	Buccaneers (set 2)	1989	Duintronic
buccanrsb	Beat 'em up	2	horizontal	buccanrs	Buccaneers (set 3, harder)	1989	Duintronic
buckrog	Shooter	2	horizontal		Buck Rogers: Planet of Zoom	1982	Sega
buckrogn	Shooter	2	horizontal	buckrog	Buck Rogers: Planet of Zoom (not encrypted, set 1)	1982	Sega
buckrogn2	Shooter	2	horizontal	buckrog	Buck Rogers: Planet of Zoom (not encrypted, set 2)	1982	Sega
bucky	Run & gun	4	horizontal		Bucky O'Hare (ver EAB)	1992	Konami
buckyaa	Run & gun	4	horizontal	bucky	Bucky O'Hare (ver AA)	1992	Konami
buckyaab	Run & gun	4	horizontal	bucky	Bucky O'Hare (ver AAB)	1992	Konami
buckyea	Run & gun	4	horizontal	bucky	Bucky O'Hare (ver EA)	1992	Konami
buckyjaa	Run & gun	4	horizontal	bucky	Bucky O'Hare (ver JAA)	1992	Konami
buckyuab	Run & gun	4	horizontal	bucky	Bucky O'Hare (ver UAB)	1992	Konami
buggychl	Racing	2	vertical		Buggy Challenge	1984	Taito Corporation
buggychlt	Racing	2	vertical	buggychl	Buggy Challenge (Tecfri)	1984	Taito Corporation (Tecfri license)
bullet	Run & gun	3	horizontal		Bullet (FD1094 317-0041)	1987	Sega
bulletd	Run & gun	3	horizontal	bullet	Bullet (bootleg of FD1094 317-0041 set)	1987	bootleg
bullfgt	Sports	2	horizontal		Bullfight (315-5065)	1984	Coreland / Sega
bullfgtr	Sports	2	vertical		Bull Fighter (World)	1984	Alpha Denshi Co.
bullfgtrs	Sports	2	vertical	bullfgtr	Bull Fighter (World, Alt)	1984	Alpha Denshi Co. (Sega license)
bumba	Racing	2	horizontal	headon	Bumba (bootleg of Head On)	1979	bootleg (Niemer)
buraiken	Beat 'em up	2	vertical	avengers	Hissatsu Buraiken (Japan, rev. A)	1987	Capcom
burglarx	Maze	2	horizontal		Burglar X	1997	Unico
burnforc	Shooter	2	horizontal		Burning Force (Japan, new version (Rev C))	1989	Namco
burnforco	Shooter	2	horizontal	burnforc	Burning Force (Japan, old version)	1989	Namco
burningf	Beat 'em up	2	horizontal		Burning Fight (NGM-018 ~ NGH-018)	1991	SNK
burningfh	Beat 'em up	2	horizontal	burningf	Burning Fight (NGH-018, US)	1991	SNK
burningfp	Beat 'em up	2	horizontal	burningf	Burning Fight (prototype, older)	1991	SNK
burningfpa	Beat 'em up	2	horizontal	burningf	Burning Fight (prototype, near final, ver 23.3, 910326)	1991	SNK
burningfpb	Beat 'em up	2	horizontal	burningf	Burning Fight (prototype, newer, V07)	1991	SNK
butasan	Action	2	horizontal		Butasan - Pig's & Bomber's (Japan, English)	1987	NMK (Jaleco license)
butasanj	Action	2	horizontal	butasan	Butasan (Japan, Japanese)	1987	NMK (Jaleco license)
buzzard	Vertical shooter	2	vertical	gyrodine	Buzzard	1984	Crux
bwcasino	Casino	2	vertical		Boardwalk Casino	1983	Epos Corporation
bwidow	Shooter / Action / Vector	2	horizontal		Black Widow	1982	Atari
bwings	Vertical shooter	2	vertical		B-Wings (Japan new Ver.)	1984	Data East Corporation
bwingsa	Vertical shooter	2	vertical	bwings	B-Wings (Alt Ver.?)	1984	Data East Corporation
bwingso	Vertical shooter	2	vertical	bwings	B-Wings (Japan old Ver.)	1984	Data East Corporation
bygone	Platform	2	horizontal		Bygone (prototype)	1985	Taito Corporation
bzone	Shooter / Vector	2	horizontal		Battle Zone (rev 2)	1980	Atari
bzonea	Shooter / Vector	2	horizontal	bzone	Battle Zone (rev 1)	1980	Atari
bzonec	Shooter / Vector	2	horizontal	bzone	Battle Zone (cocktail)	1980	Atari
cabal	Shooter	2	horizontal		Cabal (World, Joystick)	1988	TAD Corporation
